months_loan_duration,credit_history,purpose,amount,employment_length,personal_status,property,age,job
10,fully repaid this bank,radio/tv,1048,1 - 4 yrs,single male,real estate,23,unskilled resident
21,repaid,radio/tv,3160,> 7 yrs,single male,building society savings,41,skilled employee
24,fully repaid this bank,furniture,2483,1 - 4 yrs,single male,real estate,22,skilled employee
39,critical,furniture,14179,4 - 7 yrs,single male,building society savings,30,mangement self-employed
13,critical,business,1797,0 - 1 yrs,single male,building society savings,28,unskilled resident
15,repaid,car (new),2511,unemployed,female,other,23,skilled employee
12,repaid,car (new),1274,0 - 1 yrs,female,real estate,37,unskilled resident
21,repaid,car (used),5248,1 - 4 yrs,single male,other,26,skilled employee
15,repaid,car (used),3029,4 - 7 yrs,single male,other,33,skilled employee
6,repaid,furniture,428,> 7 yrs,female,building society savings,49,skilled employee
18,repaid,car (new),976,0 - 1 yrs,female,other,23,unskilled resident
12,repaid,business,841,4 - 7 yrs,female,real estate,23,unskilled resident
30,critical,radio/tv,5771,4 - 7 yrs,female,other,25,skilled employee
12,delayed,repairs,1555,> 7 yrs,single male,unknown/none,55,skilled employee
24,repaid,car (new),1285,4 - 7 yrs,female,unknown/none,32,skilled employee
6,critical,car (new),1299,1 - 4 yrs,single male,real estate,74,unemployed non-resident
15,critical,radio/tv,1271,1 - 4 yrs,single male,unknown/none,39,skilled employee
24,repaid,car (new),1393,1 - 4 yrs,single male,real estate,31,skilled employee
12,critical,car (new),691,> 7 yrs,single male,building society savings,35,skilled employee
15,critical,car (new),5045,> 7 yrs,female,other,59,skilled employee
18,critical,furniture,2124,1 - 4 yrs,female,real estate,24,skilled employee
12,repaid,radio/tv,2214,1 - 4 yrs,single male,building society savings,24,unskilled resident
21,critical,car (new),12680,> 7 yrs,single male,unknown/none,30,mangement self-employed
24,critical,car (new),2463,4 - 7 yrs,married male,building society savings,27,skilled employee
12,repaid,radio/tv,1155,> 7 yrs,married male,real estate,40,unskilled resident
30,repaid,furniture,3108,0 - 1 yrs,divorced male,building society savings,31,unskilled resident
10,repaid,car (used),2901,0 - 1 yrs,female,real estate,31,skilled employee
12,critical,furniture,3617,> 7 yrs,single male,other,28,skilled employee
12,critical,radio/tv,1655,> 7 yrs,single male,real estate,63,unskilled resident
24,repaid,car (used),2812,> 7 yrs,female,real estate,26,skilled employee
36,critical,education,8065,1 - 4 yrs,female,unknown/none,25,mangement self-employed
21,critical,car (used),3275,> 7 yrs,single male,other,36,mangement self-employed
24,critical,radio/tv,2223,> 7 yrs,single male,building society savings,52,skilled employee
12,critical,car (new),1480,unemployed,single male,unknown/none,66,unemployed non-resident
24,repaid,car (new),1371,1 - 4 yrs,female,real estate,25,skilled employee
36,critical,car (new),3535,4 - 7 yrs,single male,other,37,skilled employee
18,repaid,radio/tv,3509,4 - 7 yrs,female,real estate,25,skilled employee
36,critical,car (used),5711,> 7 yrs,single male,other,38,mangement self-employed
18,repaid,repairs,3872,unemployed,female,other,67,skilled employee
39,critical,radio/tv,4933,4 - 7 yrs,single male,real estate,25,skilled employee
24,critical,car (new),1940,> 7 yrs,single male,real estate,60,skilled employee
12,fully repaid,retraining,1410,1 - 4 yrs,single male,real estate,31,unskilled resident
12,repaid,car (new),836,0 - 1 yrs,female,building society savings,23,unskilled resident
20,repaid,car (used),6468,unemployed,divorced male,real estate,60,mangement self-employed
18,repaid,business,1941,1 - 4 yrs,single male,building society savings,35,unskilled resident
22,repaid,radio/tv,2675,> 7 yrs,single male,other,40,skilled employee
48,critical,car (used),2751,> 7 yrs,single male,other,38,skilled employee
48,delayed,education,6224,> 7 yrs,single male,unknown/none,50,skilled employee
40,critical,education,5998,1 - 4 yrs,single male,unknown/none,27,skilled employee
21,repaid,business,1188,> 7 yrs,female,building society savings,39,skilled employee
24,repaid,car (used),6313,> 7 yrs,single male,other,41,mangement self-employed
6,critical,furniture,1221,1 - 4 yrs,married male,building society savings,27,skilled employee
24,repaid,furniture,2892,> 7 yrs,divorced male,unknown/none,51,skilled employee
24,repaid,furniture,3062,> 7 yrs,single male,unknown/none,32,skilled employee
9,repaid,furniture,2301,0 - 1 yrs,female,building society savings,22,skilled employee
18,repaid,car (used),7511,> 7 yrs,single male,building society savings,51,skilled employee
12,critical,furniture,1258,0 - 1 yrs,female,building society savings,22,unskilled resident
24,delayed,car (new),717,> 7 yrs,married male,other,54,skilled employee
9,repaid,car (new),1549,0 - 1 yrs,single male,real estate,35,unemployed non-resident
24,critical,education,1597,> 7 yrs,single male,unknown/none,54,skilled employee
18,critical,radio/tv,1795,> 7 yrs,female,real estate,48,unskilled resident
20,critical,furniture,4272,> 7 yrs,female,building society savings,24,skilled employee
12,critical,radio/tv,976,> 7 yrs,single male,other,35,skilled employee
12,repaid,car (new),7472,unemployed,female,real estate,24,unemployed non-resident
36,repaid,car (new),9271,4 - 7 yrs,single male,other,24,skilled employee
6,repaid,radio/tv,590,0 - 1 yrs,married male,real estate,26,unskilled resident
12,critical,radio/tv,930,> 7 yrs,single male,real estate,65,skilled employee
42,fully repaid this bank,car (used),9283,unemployed,single male,unknown/none,55,mangement self-employed
15,fully repaid,car (new),1778,0 - 1 yrs,female,real estate,26,unemployed non-resident
8,repaid,business,907,0 - 1 yrs,married male,real estate,26,skilled employee
6,repaid,radio/tv,484,4 - 7 yrs,married male,real estate,28,unskilled resident
36,critical,car (used),9629,4 - 7 yrs,single male,other,24,skilled employee
48,repaid,domestic appliances,3051,1 - 4 yrs,single male,other,54,skilled employee
48,repaid,car (new),3931,4 - 7 yrs,single male,unknown/none,46,skilled employee
36,delayed,car (new),7432,1 - 4 yrs,female,building society savings,54,skilled employee
6,repaid,domestic appliances,1338,1 - 4 yrs,divorced male,real estate,62,skilled employee
6,critical,radio/tv,1554,4 - 7 yrs,female,other,24,skilled employee
36,repaid,others,15857,unemployed,divorced male,other,43,mangement self-employed
18,repaid,radio/tv,1345,1 - 4 yrs,married male,real estate,26,skilled employee
12,repaid,car (new),1101,1 - 4 yrs,married male,real estate,27,skilled employee
12,repaid,radio/tv,3016,1 - 4 yrs,married male,other,24,skilled employee
36,repaid,furniture,2712,> 7 yrs,single male,building society savings,41,skilled employee
8,critical,car (new),731,> 7 yrs,single male,real estate,47,unskilled resident
18,critical,furniture,3780,0 - 1 yrs,divorced male,other,35,mangement self-employed
21,critical,car (new),1602,> 7 yrs,married male,other,30,skilled employee
18,critical,car (new),3966,> 7 yrs,female,real estate,33,skilled employee
18,fully repaid,business,4165,1 - 4 yrs,single male,other,36,skilled employee
36,repaid,car (used),8335,> 7 yrs,single male,unknown/none,47,skilled employee
48,delayed,business,6681,1 - 4 yrs,single male,unknown/none,38,skilled employee
24,delayed,business,2375,1 - 4 yrs,single male,other,44,skilled employee
18,repaid,car (new),1216,0 - 1 yrs,female,other,23,skilled employee
45,fully repaid,business,11816,> 7 yrs,single male,other,29,skilled employee
24,repaid,radio/tv,5084,> 7 yrs,female,other,42,skilled employee
15,repaid,radio/tv,2327,0 - 1 yrs,female,real estate,25,unskilled resident
12,fully repaid,car (new),1082,1 - 4 yrs,single male,other,48,skilled employee
12,repaid,radio/tv,886,1 - 4 yrs,female,other,21,skilled employee
4,repaid,furniture,601,0 - 1 yrs,female,real estate,23,unskilled resident
24,critical,car (used),2957,> 7 yrs,single male,building society savings,63,skilled employee
24,critical,radio/tv,2611,> 7 yrs,married male,real estate,46,skilled employee
36,repaid,furniture,5179,4 - 7 yrs,single male,building society savings,29,skilled employee
21,delayed,car (used),2993,1 - 4 yrs,single male,real estate,28,unskilled resident
18,repaid,repairs,1943,0 - 1 yrs,female,real estate,23,skilled employee
24,fully repaid this bank,business,1559,4 - 7 yrs,single male,other,50,skilled employee
18,repaid,furniture,3422,> 7 yrs,single male,building society savings,47,skilled employee
21,repaid,furniture,3976,4 - 7 yrs,single male,other,35,skilled employee
18,repaid,car (new),6761,1 - 4 yrs,single male,other,68,skilled employee
24,repaid,car (new),1249,0 - 1 yrs,married male,real estate,28,skilled employee
9,repaid,radio/tv,1364,4 - 7 yrs,single male,real estate,59,skilled employee
12,repaid,radio/tv,709,> 7 yrs,single male,real estate,57,unskilled resident
20,critical,car (new),2235,1 - 4 yrs,married male,building society savings,33,skilled employee
24,critical,car (used),4042,4 - 7 yrs,single male,building society savings,43,skilled employee
15,critical,radio/tv,1471,1 - 4 yrs,single male,unknown/none,35,skilled employee
18,fully repaid this bank,car (new),1442,4 - 7 yrs,single male,unknown/none,32,unskilled resident
36,delayed,car (new),10875,> 7 yrs,single male,other,45,skilled employee
24,repaid,car (new),1474,0 - 1 yrs,married male,real estate,33,skilled employee
10,repaid,retraining,894,4 - 7 yrs,female,building society savings,40,skilled employee
15,critical,furniture,3343,1 - 4 yrs,single male,unknown/none,28,skilled employee
15,repaid,car (new),3959,1 - 4 yrs,female,building society savings,29,skilled employee
9,repaid,car (new),3577,1 - 4 yrs,single male,real estate,26,skilled employee
24,critical,car (used),5804,1 - 4 yrs,single male,real estate,27,skilled employee
18,delayed,business,2169,1 - 4 yrs,married male,other,28,skilled employee
24,repaid,radio/tv,2439,0 - 1 yrs,female,real estate,35,skilled employee
27,critical,furniture,4526,0 - 1 yrs,single male,real estate,32,unskilled resident
10,repaid,furniture,2210,1 - 4 yrs,single male,real estate,25,unskilled resident
15,repaid,furniture,2221,1 - 4 yrs,female,other,20,skilled employee
18,repaid,radio/tv,2389,0 - 1 yrs,female,other,27,skilled employee
12,critical,furniture,3331,> 7 yrs,single male,building society savings,42,skilled employee
36,repaid,business,7409,> 7 yrs,single male,building society savings,37,skilled employee
12,repaid,furniture,652,> 7 yrs,female,building society savings,24,skilled employee
36,delayed,furniture,7678,4 - 7 yrs,female,other,40,skilled employee
6,critical,car (new),1343,> 7 yrs,single male,real estate,46,skilled employee
24,critical,business,1382,4 - 7 yrs,single male,real estate,26,skilled employee
15,repaid,domestic appliances,874,0 - 1 yrs,female,real estate,24,skilled employee
12,repaid,furniture,3590,1 - 4 yrs,single male,building society savings,29,unskilled resident
11,critical,car (new),1322,1 - 4 yrs,female,other,40,skilled employee
18,fully repaid this bank,radio/tv,1940,0 - 1 yrs,single male,unknown/none,36,mangement self-employed
36,repaid,radio/tv,3595,> 7 yrs,single male,other,28,skilled employee
9,repaid,car (new),1422,0 - 1 yrs,single male,unknown/none,27,mangement self-employed
30,critical,radio/tv,6742,4 - 7 yrs,single male,building society savings,36,skilled employee
24,repaid,car (used),7814,4 - 7 yrs,single male,other,38,mangement self-employed
24,repaid,car (used),9277,1 - 4 yrs,divorced male,unknown/none,48,skilled employee
30,critical,car (new),2181,> 7 yrs,single male,real estate,36,skilled employee
18,critical,radio/tv,1098,unemployed,female,other,65,unemployed non-resident
24,repaid,furniture,4057,4 - 7 yrs,divorced male,other,43,skilled employee
12,repaid,education,795,0 - 1 yrs,female,building society savings,53,skilled employee
24,critical,business,2825,4 - 7 yrs,single male,unknown/none,34,skilled employee
48,repaid,business,15672,1 - 4 yrs,single male,other,23,skilled employee
36,critical,car (new),6614,> 7 yrs,single male,other,34,mangement self-employed
28,fully repaid this bank,car (used),7824,0 - 1 yrs,single male,real estate,40,skilled employee
27,critical,business,2442,> 7 yrs,single male,other,43,mangement self-employed
15,critical,radio/tv,1829,> 7 yrs,single male,other,46,skilled employee
12,critical,car (new),2171,1 - 4 yrs,single male,building society savings,38,unskilled resident
36,critical,car (used),5800,1 - 4 yrs,single male,other,34,skilled employee
18,critical,radio/tv,1169,1 - 4 yrs,single male,building society savings,29,skilled employee
36,delayed,car (used),8947,4 - 7 yrs,single male,other,31,mangement self-employed
21,repaid,radio/tv,2606,0 - 1 yrs,female,building society savings,28,mangement self-employed
12,critical,furniture,1592,4 - 7 yrs,female,building society savings,35,skilled employee
15,repaid,furniture,2186,4 - 7 yrs,female,real estate,33,unskilled resident
18,repaid,furniture,4153,1 - 4 yrs,single male,other,42,skilled employee
16,critical,car (new),2625,> 7 yrs,single male,building society savings,43,skilled employee
20,critical,car (new),3485,0 - 1 yrs,divorced male,real estate,44,skilled employee
36,critical,car (used),10477,> 7 yrs,single male,unknown/none,42,skilled employee
15,repaid,radio/tv,1386,1 - 4 yrs,married male,real estate,40,skilled employee
24,repaid,radio/tv,1278,> 7 yrs,single male,real estate,36,mangement self-employed
12,repaid,radio/tv,1107,1 - 4 yrs,single male,real estate,20,mangement self-employed
21,repaid,car (new),3763,4 - 7 yrs,single male,real estate,24,unskilled resident
36,repaid,education,3711,1 - 4 yrs,married male,other,27,skilled employee
15,delayed,car (used),3594,0 - 1 yrs,female,building society savings,46,unskilled resident
9,repaid,car (new),3195,1 - 4 yrs,female,real estate,33,unskilled resident
36,delayed,radio/tv,4454,1 - 4 yrs,female,real estate,34,skilled employee
24,critical,furniture,4736,0 - 1 yrs,female,other,25,unskilled resident
30,repaid,radio/tv,2991,> 7 yrs,female,other,25,skilled employee
11,repaid,business,2142,> 7 yrs,divorced male,real estate,28,skilled employee
24,fully repaid this bank,business,3161,1 - 4 yrs,single male,building society savings,31,skilled employee
48,fully repaid,others,18424,1 - 4 yrs,female,building society savings,32,mangement self-employed
10,repaid,car (used),2848,1 - 4 yrs,single male,real estate,32,skilled employee
6,repaid,car (new),14896,> 7 yrs,single male,unknown/none,68,mangement self-employed
24,repaid,furniture,2359,unemployed,divorced male,building society savings,33,skilled employee
24,repaid,furniture,3345,> 7 yrs,single male,building society savings,39,mangement self-employed
18,critical,furniture,1817,1 - 4 yrs,female,unknown/none,28,skilled employee
48,delayed,radio/tv,12749,4 - 7 yrs,single male,other,37,mangement self-employed
9,repaid,radio/tv,1366,0 - 1 yrs,female,building society savings,22,skilled employee
12,repaid,car (new),2002,4 - 7 yrs,single male,building society savings,30,skilled employee
24,fully repaid this bank,furniture,6872,0 - 1 yrs,divorced male,building society savings,55,skilled employee
12,fully repaid this bank,car (new),697,0 - 1 yrs,single male,other,46,skilled employee
18,critical,furniture,1049,0 - 1 yrs,female,building society savings,21,skilled employee
48,repaid,car (used),10297,4 - 7 yrs,single male,unknown/none,39,skilled employee
30,repaid,radio/tv,1867,> 7 yrs,single male,other,58,skilled employee
12,delayed,car (new),1344,1 - 4 yrs,single male,real estate,43,unskilled resident
24,repaid,furniture,1747,0 - 1 yrs,single male,building society savings,24,unskilled resident
9,repaid,radio/tv,1670,0 - 1 yrs,female,other,22,skilled employee
9,critical,car (new),1224,1 - 4 yrs,single male,real estate,30,skilled employee
12,critical,radio/tv,522,> 7 yrs,single male,building society savings,42,skilled employee
12,repaid,radio/tv,1498,1 - 4 yrs,female,other,23,skilled employee
30,delayed,radio/tv,1919,0 - 1 yrs,single male,unknown/none,30,mangement self-employed
9,repaid,radio/tv,745,1 - 4 yrs,female,real estate,28,unskilled resident
6,repaid,radio/tv,2063,0 - 1 yrs,married male,other,30,mangement self-employed
60,repaid,education,6288,1 - 4 yrs,single male,unknown/none,42,skilled employee
24,critical,car (used),6842,1 - 4 yrs,single male,building society savings,46,mangement self-employed
12,repaid,car (new),3527,0 - 1 yrs,single male,building society savings,45,mangement self-employed
10,repaid,car (new),1546,1 - 4 yrs,single male,real estate,31,unskilled resident
24,repaid,furniture,929,4 - 7 yrs,single male,other,31,skilled employee
4,critical,car (new),1455,4 - 7 yrs,single male,real estate,42,unskilled resident
15,repaid,furniture,1845,0 - 1 yrs,female,building society savings,46,skilled employee
48,fully repaid,car (new),8358,0 - 1 yrs,female,other,30,skilled employee
24,fully repaid this bank,furniture,3349,0 - 1 yrs,single male,unknown/none,30,skilled employee
12,repaid,car (new),2859,unemployed,single male,unknown/none,38,mangement self-employed
18,repaid,furniture,1533,0 - 1 yrs,married male,building society savings,43,unskilled resident
24,repaid,radio/tv,3621,> 7 yrs,single male,other,31,skilled employee
18,critical,business,3590,unemployed,married male,other,40,unemployed non-resident
36,delayed,business,2145,4 - 7 yrs,single male,other,24,skilled employee
24,repaid,car (used),4113,0 - 1 yrs,female,other,28,skilled employee
36,repaid,furniture,10974,unemployed,female,other,26,mangement self-employed
12,repaid,car (new),1893,1 - 4 yrs,female,building society savings,29,skilled employee
24,critical,radio/tv,1231,> 7 yrs,female,building society savings,57,mangement self-employed
30,critical,radio/tv,3656,> 7 yrs,single male,building society savings,49,unskilled resident
9,critical,radio/tv,1154,> 7 yrs,single male,real estate,37,unskilled resident
28,repaid,car (new),4006,1 - 4 yrs,single male,other,45,unskilled resident
24,repaid,furniture,3069,> 7 yrs,single male,unknown/none,30,skilled employee
6,critical,radio/tv,1740,> 7 yrs,married male,real estate,30,skilled employee
21,delayed,car (new),2353,1 - 4 yrs,divorced male,building society savings,47,skilled employee
15,repaid,car (new),3556,1 - 4 yrs,single male,unknown/none,29,skilled employee
24,repaid,radio/tv,2397,> 7 yrs,single male,other,35,skilled employee
6,repaid,repairs,454,0 - 1 yrs,married male,building society savings,22,unskilled resident
30,repaid,radio/tv,1715,1 - 4 yrs,female,other,26,skilled employee
27,critical,radio/tv,2520,1 - 4 yrs,single male,building society savings,23,unskilled resident
15,repaid,radio/tv,3568,> 7 yrs,female,other,54,mangement self-employed
42,repaid,radio/tv,7166,4 - 7 yrs,married male,building society savings,29,skilled employee
11,critical,car (new),3939,1 - 4 yrs,single male,real estate,40,unskilled resident
15,repaid,repairs,1514,1 - 4 yrs,single male,real estate,22,skilled employee
24,repaid,car (new),7393,1 - 4 yrs,single male,building society savings,43,unskilled resident
24,fully repaid this bank,car (new),1193,unemployed,female,unknown/none,29,unemployed non-resident
60,repaid,business,7297,> 7 yrs,single male,unknown/none,36,skilled employee
30,critical,radio/tv,2831,1 - 4 yrs,female,other,33,skilled employee
24,repaid,radio/tv,1258,1 - 4 yrs,female,other,57,unskilled resident
6,repaid,radio/tv,753,1 - 4 yrs,female,real estate,64,skilled employee
18,delayed,business,2427,> 7 yrs,single male,building society savings,42,skilled employee
24,delayed,car (new),2538,> 7 yrs,single male,other,47,unskilled resident
15,fully repaid this bank,car (new),1264,1 - 4 yrs,married male,building society savings,25,skilled employee
30,critical,furniture,8386,4 - 7 yrs,single male,building society savings,49,skilled employee
48,repaid,business,4844,unemployed,single male,other,33,mangement self-employed
21,repaid,car (new),2923,1 - 4 yrs,female,other,28,mangement self-employed
36,repaid,car (used),8229,1 - 4 yrs,single male,building society savings,26,skilled employee
24,critical,furniture,2028,4 - 7 yrs,single male,building society savings,30,unskilled resident
15,critical,furniture,1433,1 - 4 yrs,female,building society savings,25,skilled employee
42,fully repaid,business,6289,0 - 1 yrs,divorced male,building society savings,33,skilled employee
13,repaid,radio/tv,1409,unemployed,female,real estate,64,skilled employee
24,repaid,car (used),6579,unemployed,single male,unknown/none,29,mangement self-employed
24,critical,radio/tv,1743,> 7 yrs,single male,building society savings,48,unskilled resident
12,critical,education,3565,0 - 1 yrs,single male,building society savings,37,unskilled resident
15,fully repaid this bank,radio/tv,1569,> 7 yrs,single male,other,34,unskilled resident
18,repaid,radio/tv,1936,4 - 7 yrs,married male,other,23,unskilled resident
36,repaid,furniture,3959,unemployed,single male,building society savings,30,mangement self-employed
12,repaid,car (new),2390,> 7 yrs,single male,other,50,skilled employee
12,repaid,furniture,1736,4 - 7 yrs,female,real estate,31,unskilled resident
30,repaid,car (used),3857,1 - 4 yrs,divorced male,building society savings,40,mangement self-employed
12,repaid,radio/tv,804,> 7 yrs,single male,other,38,skilled employee
45,repaid,radio/tv,1845,1 - 4 yrs,single male,unknown/none,23,skilled employee
45,critical,car (used),4576,unemployed,single male,other,27,skilled employee
